x,y,label
-0.700608,1.500000,3
-0.946809,1.461563,1
-0.796353,1.442345,0
-0.536474,1.471172,0
-0.344985,1.451954,0
-1.161094,1.426329,0
-1.033435,1.419923,1
-0.650456,1.426329,1
-0.504559,1.419923,0
-1.439210,1.403908,1
1.980243,1.403908,6
-0.919453,1.384689,1
-0.591185,1.384689,1
-1.215805,1.362268,1
-0.782675,1.365471,1
1.788754,1.365471,6
2.176292,1.368674,6
-1.001520,1.346252,1
1.866261,1.349455,6
-1.302432,1.327034,1
-0.637690,1.325112,1
-0.431611,1.330237,0
2.039514,1.330237,6
-1.466565,1.307816,1
-1.199848,1.298206,1
-1.069909,1.298206,1
-0.942249,1.311019,0
-0.727964,1.307816,0
2.171733,1.307816,6
-1.374729,1.268006,0
1.706687,1.278988,6
1.930091,1.285394,6
-1.662614,1.266176,0
-1.306991,1.272582,1
-0.864742,1.269379,1
1.811550,1.266176,6
2.103343,1.269379,6
-1.544073,1.253363,0
2.231003,1.253363,6
-1.193009,1.230942,1
1.898176,1.230942,6
-1.507599,1.211723,0
-1.001520,1.211723,0
-0.705167,1.208520,0
-0.618541,1.211723,0
2.021277,1.211723,6
-1.439210,1.192505,1
-1.302432,1.192505,1
-0.864742,1.192505,1
-1.740122,1.173286,0
2.390578,1.173286,6
-1.658055,1.144459,1
-1.088146,1.150865,1
-0.700608,1.154068,1
1.569909,1.154068,6
1.706687,1.154068,6
1.784195,1.157271,6
1.925532,1.154068,6
2.121581,1.157271,6
2.313070,1.157271,6
-1.574034,1.111513,1
-1.261398,1.128443,0
-0.887538,1.138053,1
-1.883739,1.106022,1
-1.186170,1.106022,1
2.203647,1.112428,6
-1.462006,1.093209,0
1.556231,1.096413,6
1.679331,1.096413,6
2.007599,1.096413,6
-1.726444,1.072389,1
0.772036,1.073991,3
2.308511,1.077194,6
-1.801672,1.048366,1
-1.309271,1.048366,1
-1.028875,1.057976,1
-0.951368,1.061179,0
-0.844225,1.048366,1
-0.645897,1.057976,1
0.277356,1.048366,3
0.544073,1.057976,3
1.820669,1.061179,6
1.756839,1.041960,6
2.110182,1.029148,6
2.203647,1.035554,6
-1.723024,0.985906,1
-1.580547,1.022742,0
-1.466565,1.019539,1
-1.158815,1.009930,1
1.592705,1.022742,6
1.934650,1.000320,6
2.340426,1.016336,6
-1.261398,1.000320,0
0.206687,0.997117,3
0.475684,1.000320,3
-1.033435,0.977899,0
-0.841945,0.984305,1
0.042553,0.977899,3
0.694529,0.981102,3
0.826748,0.977899,3
1.811550,0.984305,6
-1.895137,0.952274,0
-1.571429,0.965086,1
-1.466565,0.961883,1
0.342325,0.937860,3
0.589666,0.965086,3
1.647416,0.965086,6
-0.755319,0.942665,1
1.725836,0.940743,6
2.185410,0.933056,6
2.335866,0.942665,6
-1.329787,0.923447,1
-1.220365,0.923447,1
-0.969605,0.920243,0
1.508359,0.913837,6
2.089666,0.923447,6
-1.436474,0.898463,1
0.147416,0.904228,3
0.222644,0.894619,3
0.498480,0.901025,3
0.717325,0.907431,3
1.809271,0.894619,6
1.939210,0.894619,6
2.468085,0.907431,6
-1.658055,0.875400,0
-1.028875,0.885010,1
0.591945,0.875400,3
2.274316,0.875400,6
-1.170213,0.862588,0
-0.919453,0.865791,1
-0.837386,0.865791,1
0.790274,0.859385,3
2.039514,0.862588,6
-2.000000,0.846573,0
-1.521277,0.846573,1
0.644377,0.843370,3
2.121581,0.849776,6
2.395137,0.843370,6
-1.794833,0.827354,1
-1.411854,0.827354,1
1.547112,0.830557,6
1.651976,0.827354,6
1.870821,0.827354,6
-0.978723,0.804933,0
0.063396,0.804018,3
0.174772,0.817745,3
0.316109,0.804933,3
0.396353,0.786996,3
2.171733,0.808136,6
2.349544,0.808136,6
-1.876900,0.788917,1
-1.263222,0.747277,1
-0.782675,0.788917,1
0.559705,0.768326,3
-1.712766,0.769699,0
-1.630699,0.769699,1
-1.521277,0.769699,1
-1.110942,0.779308,0
0.671733,0.772902,3
0.831307,0.769699,3
1.515198,0.769699,6
1.734043,0.779308,6
1.952888,0.769699,6
-1.033435,0.747277,0
0.443769,0.747277,3
2.383739,0.740871,6
-0.869301,0.728059,0
0.197568,0.734465,3
0.886018,0.731262,3
1.816109,0.731262,6
2.039514,0.734465,6
-1.822188,0.712044,1
-0.946809,0.712044,1
1.651976,0.712044,6
1.756839,0.708840,6
1.952888,0.712044,6
2.226444,0.712044,6
-1.936170,0.689622,1
-1.671733,0.697630,1
-1.580547,0.696028,0
-1.452888,0.676810,0
-1.161094,0.696028,0
0.124620,0.689622,3
0.229483,0.692825,3
0.316109,0.689622,3
0.465914,0.674979,3
0.653495,0.683216,3
0.803951,0.692825,3
2.112462,0.696028,6
2.449848,0.696028,6
2.176292,0.676810,6
-0.987842,0.654388,0
-0.787234,0.657591,0
1.578116,0.660154,6
1.816109,0.663997,6
2.294833,0.654388,6
-1.288754,0.606342,1
-1.161094,0.631967,0
-0.677812,0.631967,0
0.147416,0.635170,3
1.702128,0.631967,6
2.085106,0.631967,6
2.390578,0.635170,6
-1.822188,0.615951,1
-1.575988,0.615951,1
-1.411854,0.615951,1
0.607903,0.612748,3
1.898176,0.615951,6
2.203647,0.619154,6
-0.987842,0.596733,0
2.285714,0.599936,6
-1.692249,0.567905,0
-0.721125,0.567905,0
0.279635,0.580717,3
0.420973,0.577514,3
1.846201,0.564061,6
2.028116,0.567905,6
-1.416413,0.555093,0
-1.133739,0.561499,0
-0.919453,0.558296,0
2.212766,0.553491,6
2.465805,0.548687,6
-1.188450,0.542281,1
1.492401,0.542281,6
1.645137,0.529468,6
2.358663,0.542281,6
-1.890578,0.519859,0
-1.740122,0.519859,1
-1.001520,0.519859,1
2.125228,0.506406,6
-1.635258,0.503844,1
-1.541793,0.479020,1
1.843465,0.510250,6
-1.352584,0.484625,0
-0.837386,0.481422,1
1.720365,0.475016,6
1.952888,0.471813,6
2.294833,0.481422,6
-1.110942,0.462204,1
-0.974164,0.462204,1
-0.721125,0.452594,1
-0.559271,0.465407,1
1.556231,0.462204,6
2.417933,0.462204,6
-1.726444,0.442985,0
-1.197568,0.439782,1
1.816109,0.442985,6
2.226444,0.452594,6
-1.329787,0.423767,1
1.665653,0.410955,6
-0.914894,0.401345,0
-0.613982,0.401345,0
2.171733,0.404548,6
2.335866,0.404548,6
-1.733283,0.375721,1
-1.603343,0.385330,1
1.870821,0.385330,6
2.012158,0.369315,6
-1.516717,0.362908,0
-1.056231,0.366111,1
2.260638,0.356502,6
-1.275076,0.346893,1
-0.782675,0.346893,1
1.651976,0.346893,6
-1.110942,0.327675,0
-0.626748,0.329596,1
1.811550,0.324471,6
1.898176,0.327675,6
2.331307,0.324471,6
-1.334347,0.311659,0
1.959726,0.298847,6
2.121581,0.305253,6
